Date,MeanAvgTemperature,HighestMaxTemperature,LowestMinTemperature
2020-01,34.6,70,7
2020-02,35.6,62,10
2020-03,44.1,73,20
2020-04,47.1,67,27
2020-05,59.5,82,34
2020-06,72.4,92,43
2020-07,79.3,98,62
2020-08,76.1,95,52
2020-09,66.8,87,36
2020-10,55.5,78,24
2020-11,47.8,78,22
2020-12,35.5,64,6
2021-01,31.1,50,8
2021-02,30.5,51,11
2021-03,42.4,78,16
2021-04,51.8,77,26
2021-05,60.6,91,40
2021-06,73,99,48
2021-07,73.8,93,57
2021-08,75.8,97,56
2021-09,68,86,48
2021-10,59,79,38
2021-11,42.8,69,22
2021-12,38.8,63,20
2022-01,26.4,54,2
2022-02,33,70,5
2022-03,41.9,76,18
2022-04,50.7,79,31
2022-05,64.6,95,37
2022-06,69.9,92,51
2022-07,78.1,97,58
2022-08,78.2,99,56
2022-09,66.5,86,44
2022-10,55,79,31
2022-11,47.5,79,23
2022-12,35.5,63,8
