Date,MeanAvgTemperature,HighestMaxTemperature,LowestMinTemperature
2020-01,37.8,67,13
2020-02,39.5,68,13
2020-03,47.3,82,20
2020-04,49.4,76,24
2020-05,58.5,85,32
2020-06,72.3,92,40
2020-07,79.1,97,61
2020-08,76.1,91,59
2020-09,66.9,88,40
2020-10,58.4,79,32
2020-11,49.7,77,20
2020-12,37.4,65,16
2021-01,34.7,56,16
2021-02,34.1,55,18
2021-03,45.5,83,14
2021-04,53.2,87,21
2021-05,61,94,37
2021-06,72.4,93,49
2021-07,76.7,93,58
2021-08,76.8,94,59
2021-09,69.6,87,47
2021-10,61.9,83,38
2021-11,43,71,20
2021-12,42.2,67,16
2022-01,29.6,62,4
2022-02,37.6,73,8
2022-03,45.1,76,19
2022-04,51.2,81,26
2022-05,63.7,93,32
2022-06,70.1,95,46
2022-07,78.1,97,54
2022-08,77.2,97,55
2022-09,67.3,87,39
2022-10,54.3,77,30
2022-11,47.8,79,16
2022-12,36,63,5
