Date,MeanAvgTemperature,HighestMaxTemperature,LowestMinTemperature
2020-01, 35.0, 64, 9
2020-02, 33.3, 67, 2
2020-03, 46.2, 74, 21
2020-04, 50.8, 79, 24
2020-05, 60.7, 88, 27
2020-06, 73.7, 91, 50
2020-07, 78.4, 94, 61
2020-08, 74.1, 92, 54
2020-09, 67.8, 90, 44
2020-10, 54.7, 84, 31
2020-11, 48.2, 79, 26
2020-12, 34.7, 65, 10
2021-01, 31.0, 49, 12
2021-02, 25.9, 61, 0
2021-03, 46.9, 74, 21
2021-04, 53.2, 82, 22
2021-05, 60.9, 87, 34
2021-06, 74.1, 93, 53
2021-07, 74.9, 91, 56
2021-08, 77.5, 94, 57
2021-09, 70.2, 89, 46
2021-10, 60.9, 82, 38
2021-11, 40.5, 69, 20
2021-12, 42.1, 66, 17
2022-01, 25.5, 61, 0
2022-02, 30.8, 63, 2
2022-03, 45.5, 78, 13
2022-04, 51.5, 84, 29
2022-05, 66.1, 89, 43
2022-06, 74.4, 95, 54
2022-07, 78.0, 99, 60
2022-08, 75.0, 93, 58
2022-09, 68.1, 93, 42
2022-10, 54.5, 79, 28
2022-11, 44.4, 76, 13
2022-12, 33.4, 58, -9
