Date,MeanAvgTemperature,HighestMaxTemperature,LowestMinTemperature
2020-01,20.4,37,-8
2020-02,20.2,43,-10
2020-03,35.8,58,17
2020-04,43.4,72,21
2020-05,58.2,80,35
2020-06,71.5,95,50
2020-07,75.7,93,58
2020-08,72.4,91,55
2020-09,60.2,83,39
2020-10,42.9,78,17
2020-11,37.9,73,15
2020-12,25.5,48,-4
2021-01,21.7,40,2
2021-02,12,47,-18
2021-03,39.2,72,13
2021-04,46.3,84,24
2021-05,59.2,86,38
2021-06,75.2,98,51
2021-07,75.5,96,54
2021-08,74.1,90,59
2021-09,64.8,85,45
2021-10,54.8,79,32
2021-11,36.6,64,14
2021-12,24.3,57,-5
2022-01,9.4,42,-15
2022-02,13,42,-9
2022-03,30.3,61,-4
2022-04,40.1,75,21
2022-05,60,92,40
2022-06,71.2,100,52
2022-07,74.9,96,59
2022-08,71.2,95,56
2022-09,64.1,86,38
2022-10,50.6,77,24
2022-11,34.9,74,12
2022-12,17.4,39,-10
