Date,MeanAvgTemperature,HighestMaxTemperature,LowestMinTemperature
2020-01,30.7,54,8
2020-02,33.7,60,-3
2020-03,43.4,65,20
2020-04,49.8,83,14
2020-05,60,88,31
2020-06,67.4,93,35
2020-07,72,99,46
2020-08,72,95,48
2020-09,61.4,93,29
2020-10,52.3,82,12
2020-11,42.2,71,12
2020-12,28.7,55,3
2021-01,30.4,51,2
2021-02,33.9,60,-10
2021-03,40.5,68,9
2021-04,48.9,76,25
2021-05,58.2,82,32
2021-06,68.7,95,36
2021-07,69.7,94,48
2021-08,69.1,91,47
2021-09,64.5,91,40
2021-10,50.5,78,24
2021-11,42.6,69,17
2021-12,34.6,62,2
2022-01,30.9,55,6
2022-02,29.5,57,-8
2022-03,40.4,74,12
2022-04,50.3,78,19
2022-05,59.6,88,28
2022-06,67.3,98,44
2022-07,71.4,95,53
2022-08,67.8,89,47
2022-09,64.3,90,39
2022-10,49.2,77,23
2022-11,34.2,66,8
2022-12,31.3,56,-1
