Date,MeanAvgTemperature,HighestMaxTemperature,LowestMinTemperature
2020-01,34.8,67,16
2020-02,36.4,64,12
2020-03,44.4,75,24
2020-04,47.8,71,29
2020-05,58.9,88,32
2020-06,69.4,90,45
2020-07,79.1,99,62
2020-08,75.3,92,56
2020-09,64.6,85,37
2020-10,53.7,81,28
2020-11,45.9,74,22
2020-12,33.2,57,14
2021-01,31.8,47,17
2021-02,29.2,54,15
2021-03,42,74,21
2021-04,51.3,85,26
2021-05,59,89,37
2021-06,71,95,46
2021-07,74,96,51
2021-08,73.6,92,51
2021-09,64.9,85,44
2021-10,57.3,80,31
2021-11,40.1,65,17
2021-12,37.8,62,20
2022-01,24.9,59,5
2022-02,32.1,66,11
2022-03,40.2,75,16
2022-04,48.5,79,22
2022-05,62.6,90,33
2022-06,70.9,92,51
2022-07,77,96,61
2022-08,75.7,95,55
2022-09,65.3,89,45
2022-10,50.8,73,29
2022-11,44.3,75,14
2022-12,32,59,3
