Date,MeanAvgTemperature,HighestMaxTemperature,LowestMinTemperature
2020-01,43.2,72,20
2020-02,45,72,20
2020-03,54.8,88,21
2020-04,56.9,83,33
2020-05,63.8,87,32
2020-06,75.3,94,54
2020-07,82.9,101,66
2020-08,79.2,96,64
2020-09,69.7,93,45
2020-10,62.3,84,40
2020-11,54.6,78,27
2020-12,41.3,71,22
2021-01,39,66,17
2021-02,38.6,68,19
2021-03,51.3,86,24
2021-04,58.9,88,30
2021-05,65.9,95,42
2021-06,76.1,96,54
2021-07,79.5,96,61
2021-08,79.9,95,62
2021-09,72.6,92,51
2021-10,65.9,86,43
2021-11,47.7,77,25
2021-12,48.9,73,25
2022-01,36.5,73,12
2022-02,44.5,74,17
2022-03,52.4,81,19
2022-04,59,91,31
2022-05,68.5,97,41
2022-06,75.5,97,55
2022-07,80.7,98,61
2022-08,78.5,97,61
2022-09,72.8,93,48
2022-10,57.7,82,34
2022-11,53.1,84,24
2022-12,40.6,69,8
