Date,MeanAvgTemperature,HighestMaxTemperature,LowestMinTemperature
2020-01,25.9,49,-1
2020-02,24.7,52,-14
2020-03,38.3,63,20
2020-04,45.6,77,19
2020-05,57,86,28
2020-06,68.8,89,42
2020-07,75.5,94,54
2020-08,72,95,49
2020-09,61.3,86,36
2020-10,47.3,82,22
2020-11,44.2,76,21
2020-12,27.2,55,4
2021-01,22.4,41,-4
2021-02,13.8,47,-14
2021-03,40,67,12
2021-04,48.8,81,21
2021-05,58.4,89,30
2021-06,72.1,95,46
2021-07,72.1,94,53
2021-08,72.9,97,51
2021-09,64.9,89,44
2021-10,56.9,86,29
2021-11,38.3,73,12
2021-12,31.2,69,7
2022-01,13.2,46,-16
2022-02,20.7,52,-2
2022-03,35.2,75,4
2022-04,42.5,81,22
2022-05,61.4,94,33
2022-06,68.4,95,46
2022-07,72.5,91,50
2022-08,70.7,92,52
2022-09,61.7,87,33
2022-10,51.2,81,25
2022-11,40.3,77,8
2022-12,23.9,54,-13
