id,name,parent_location,year,type,filings,filing_rate,threatened,threatened_rate,judgements,judgement_rate
01001,Autauga County,Alabama,2000,observed,57,1.85,54,1.76,35,1.14
01001,Autauga County,Alabama,2001,observed,84,2.73,83,2.7,35,1.14
01001,Autauga County,Alabama,2002,observed,100,3.25,97,3.16,20,0.65
01001,Autauga County,Alabama,2003,observed,102,3.32,90,2.93,12,0.39
01001,Autauga County,Alabama,2004,observed,19,0.62,19,0.62,12,0.39
01001,Autauga County,Alabama,2005,observed,13,0.32,13,0.32,10,0.24
01001,Autauga County,Alabama,2006,observed,78,1.9,76,1.85,34,0.83
01001,Autauga County,Alabama,2007,observed,84,2.05,81,1.97,43,1.05
01001,Autauga County,Alabama,2008,observed,130,3.17,126,3.07,75,1.83
01001,Autauga County,Alabama,2009,observed,108,2.63,104,2.53,54,1.32
01001,Autauga County,Alabama,2010,observed,103,2.07,98,1.97,51,1.03
01001,Autauga County,Alabama,2011,observed,118,2.22,111,2.09,71,1.33
01001,Autauga County,Alabama,2012,observed,169,3.18,155,2.91,98,1.84
01001,Autauga County,Alabama,2013,observed,173,3.25,157,2.95,109,2.05
01001,Autauga County,Alabama,2014,observed,145,2.73,134,2.52,83,1.56
01001,Autauga County,Alabama,2015,observed,136,2.56,126,2.37,78,1.47
01001,Autauga County,Alabama,2016,observed,130,2.27,123,2.15,97,1.7
01001,Autauga County,Alabama,2017,observed,103,1.8,102,1.78,75,1.31
01001,Autauga County,Alabama,2018,observed,157,2.75,154,2.69,116,2.03
01003,Baldwin County,Alabama,2000,observed,188,1.66,184,1.63,58,0.51
01003,Baldwin County,Alabama,2001,observed,270,2.39,267,2.36,74,0.65
01003,Baldwin County,Alabama,2002,observed,332,2.93,322,2.84,91,0.8
01003,Baldwin County,Alabama,2003,observed,271,2.39,267,2.36,81,0.72
01003,Baldwin County,Alabama,2004,observed,344,3.04,337,2.98,101,0.89
01003,Baldwin County,Alabama,2005,observed,453,2.93,440,2.85,241,1.56
01003,Baldwin County,Alabama,2006,observed,471,3.05,460,2.98,232,1.5
01003,Baldwin County,Alabama,2007,observed,548,3.55,535,3.46,351,2.27
01003,Baldwin County,Alabama,2008,observed,605,3.92,570,3.69,399,2.58
01003,Baldwin County,Alabama,2009,observed,567,3.67,558,3.61,324,2.1
01003,Baldwin County,Alabama,2010,observed,562,2.79,545,2.71,320,1.59
01003,Baldwin County,Alabama,2011,observed,609,2.89,589,2.79,386,1.83
01003,Baldwin County,Alabama,2012,observed,801,3.79,764,3.62,415,1.97
01003,Baldwin County,Alabama,2013,observed,768,3.64,726,3.44,443,2.1
01003,Baldwin County,Alabama,2014,observed,606,2.87,589,2.79,362,1.72
01003,Baldwin County,Alabama,2015,observed,586,2.78,576,2.73,424,2.01
01003,Baldwin County,Alabama,2016,observed,709,3.54,692,3.45,457,2.28
01003,Baldwin County,Alabama,2017,observed,670,3.34,648,3.23,401,2
