pha_name,pha_participant_code,pha_geography,pha_county_fips_code,pha_place_fips_code,pha_state_fips_code,year,pha_total_occupied_units,pha_filings,pha_households_threatened,pha_filing_rate,pha_hhlds_threatened_rate
GREENE COUNTY,AL190,County,01063,,01,2006,173.91,7,6,4.0300002,3.45
GREENVILLE,AL155,City,,0131912,01,2006,190,0,0,0,0
MILLPORT,AL095,City,,0148808,01,2006,44,0,0,0,0
ABBEVILLE,AL101,City,,0100124,01,2006,40,0,0,0,0
BRUNDIDGE,AL126,City,,0110240,01,2006,41,0,0,0,0
SYLACAUGA,AL057,City,,0174352,01,2006,613.47998,12,12,1.96,1.96
HALEYVILLE,AL056,City,,0132704,01,2006,253,3,3,1.1900001,1.1900001
SULLIGENT,AL119,City,,0173728,01,2006,121.77,0,0,0,0
BAY MINETTE,AL164,City,,0104660,01,2006,98.279999,6,6,6.1100001,6.1100001
GADSDEN,AL049,City,,0128696,01,2006,876.47998,170,160,19.4,18.25
SAMSON,AL128,City,,0167800,01,2006,185.31,7,7,3.78,3.78
TUSCUMBIA,AL059,City,,0177280,01,2006,223.2,2,2,.89999998,.89999998
ANDALUSIA,AL127,City,,0101708,01,2006,117.6,1,1,.85000002,.85000002
HOBSON CITY,AL133,City,,0135152,01,2006,57,0,0,0,0
VERNON,AL084,City,,0178480,01,2006,137.75,0,0,0,0
FORT PAYNE,AL011,City,,0127616,01,2006,253.7,8,8,3.1500001,3.1500001
CHICKASAW,AL166,City,,0114392,01,2006,233.28,6,6,2.5699999,2.5699999
DOTHAN,AL007,City,,0121184,01,2006,610.73999,0,0,0,0
CHILDERSBURG,AL122,City,,0114464,01,2006,184.3,3,3,1.63,1.63
ARAB,AL091,City,,0102116,01,2006,105,2,2,1.9,1.9
DECATUR,AL048,City,,0120104,01,2006,580.79999,12,12,2.0699999,2.0699999
HARTFORD,AL103,City,,0133424,01,2006,32.98,0,0,0,0
GEORGIANA,AL094,City,,0129560,01,2006,70.5,1,1,1.42,1.42
TUSKEGEE,AL160,City,,0177304,01,2006,304.79999,8,8,2.6199999,2.6199999
HARTSELLE,AL087,City,,0133448,01,2006,169.25999,0,0,0,0
JACKSONVILLE,AL139,City,,0138272,01,2006,175,4,4,2.29,2.29
ASHLAND,AL136,City,,0102860,01,2006,189.05,0,0,0,0
PIEDMONT,AL110,City,,0159640,01,2006,163.02,3,3,1.84,1.84
BREWTON,AL156,City,,0109208,01,2006,59.200001,6,6,10.14,10.14
ALTOONA,AL102,City,,0101660,01,2006,96.029999,3,3,3.1199999,3.1199999
BOAZ,AL075,City,,0107912,01,2006,414.92001,3,3,.72000003,.72000003
ELBA,AL107,City,,0123296,01,2006,123.75,3,3,2.4200001,2.4200001
ASHFORD,AL144,City,,0102836,01,2006,75.239998,0,0,0,0
EVERGREEN,AL181,City,,0124808,01,2006,89.099998,3,3,3.3699999,3.3699999
MOBILE,AL002,City,,0150000,01,2006,2588.04,72,61,2.78,2.3599999
ATMORE,AL154,City,,0103004,01,2006,68,1,1,1.47,1.47
OZARK,AL073,City,,0157648,01,2006,396,2,2,.50999999,.50999999
ALBERTVILLE,AL121,City,,0100988,01,2006,154.7,0,0,0,0
GORDO,AL138,City,,0130736,01,2006,74.400002,1,1,1.34,1.34
GUNTERSVILLE,AL014,City,,0132416,01,2006,304.5,7,7,2.3,2.3
UNION SPRINGS,AL070,City,,0177880,01,2006,147,13,11,8.8400002,7.48
MIDLAND CITY,AL124,City,,0148400,01,2006,41.860001,4,4,9.5600004,9.5600004
PHIL CAMPBELL,AL090,City,,0159496,01,2006,62,1,1,1.61,1.61
COLLINSVILLE,AL083,City,,0116600,01,2006,51,2,2,3.9200001,3.9200001
OPP,AL112,City,,0157120,01,2006,151.3,12,11,7.9299998,7.27
EUTAW,AL146,City,,0124664,01,2006,49,2,2,4.0799999,4.0799999
NEWTON,AL142,City,,0154480,01,2006,26.07,1,1,3.8399999,3.8399999
TALLADEGA,AL105,City & County,01121,0174592,01,2006,494.01001,4,4,.81,.81
CROSSVILLE,AL082,City,,0118856,01,2006,27,0,0,0,0
LUVERNE,AL088,City,,0144728,01,2006,138.17999,0,0,0,0
DALEVILLE,AL179,City,,0119360,01,2006,63.700001,2,2,3.1400001,3.1400001
HUNTSVILLE,AL047,City,,0137000,01,2006,1771.11,197,194,11.12,10.95
EUFAULA,AL118,City,,0124568,01,2006,377,0,0,0,0
HEFLIN,AL096,City,,0133976,01,2006,34,0,0,0,0
FLORALA,AL111,City,,0126848,01,2006,39.689999,3,3,7.5599999,7.5599999
DEMOPOLIS,AL109,City,,0120296,01,2006,172.8,0,0,0,0
GOODWATER,AL132,City,,0130640,01,2006,36,0,0,0,0
FORT DEPOSIT,AL193,City,,0127520,01,2006,43,2,2,4.6500001,4.6500001
LINDEN,AL120,City,,0143240,01,2006,47,3,3,6.3800001,6.3800001
ANNISTON,AL004,City,,0101852,01,2006,629.15997,44,43,6.9899998,6.8299999
CLAYTON,AL158,City,,0115376,01,2006,37.799999,1,1,2.6500001,2.6500001
RED BAY,AL051,City,,0163576,01,2006,157.44,1,1,.63999999,.63999999
LINEVILLE,AL114,City,,0143264,01,2006,191,0,0,0,0
SLOCOMB,AL143,City,,0171040,01,2006,14,0,0,0,0
FAYETTE,AL137,City & County,01057,0125840,01,2006,136.12,0,0,0,0
NEW BROCKTON,AL149,City,,0153856,01,2006,40,0,0,0,0
TROY,AL177,City,,0176920,01,2006,422,32,30,7.5799999,7.1100001
BERRY,AL078,City,,0105932,01,2006,58.799999,0,0,0,0
RAINSVILLE,AL168,City,,0163336,01,2006,98,1,1,1.02,1.02
SHEFFIELD,AL068,City,,0169648,01,2006,374.92001,7,7,1.87,1.87
REFORM,AL066,City,,0164104,01,2006,55.799999,0,0,0,0
COTTONWOOD,AL104,City,,0117824,01,2006,46.740002,0,0,0,0
ALICEVILLE,AL098,City,,0101228,01,2006,164.35001,9,8,5.48,4.8699999
MONTGOMERY,AL006,City & County,01101,0151000,01,2006,1701.9,92,88,5.4099998,5.1700001
FOLEY,AL165,City,,0126992,01,2006,80.959999,0,0,0,0
ATTALLA,AL009,City,,0103028,01,2006,110,1,1,.91000003,.91000003
ENTERPRISE,AL115,City,,0124184,01,2006,135,3,3,2.22,2.22
RUSSELLVILLE,AL060,City,,0167056,01,2006,206.91,3,3,1.45,1.45
MOBILE COUNTY,AL202,County,01097,,01,2006,45,1,1,2.22,2.22
HEADLAND,AL123,City,,0133856,01,2006,49,0,0,0,0
TRIANA,AL182,City,,0176824,01,2006,22.08,1,1,4.5300002,4.5300002
BRENT,AL151,City,,0109136,01,2006,69.300003,0,0,0,0
BRANTLEY,AL145,City,,0109016,01,2006,88,0,0,0,0
JACKSONVILLE,AL139,City,,0138272,01,2007,175,3,3,1.71,1.71
PIEDMONT,AL110,City,,0159640,01,2007,160.92999,7,7,4.3499999,4.3499999
BEAR CREEK,AL081,City,,0104852,01,2007,23.040001,2,2,8.6800003,8.6800003
GEORGIANA,AL094,City,,0129560,01,2007,76,3,3,3.95,3.95
GUNTERSVILLE,AL014,City,,0132416,01,2007,332.5,9,9,2.71,2.71
MARION,AL161,City,,0146768,01,2007,55.860001,2,2,3.5799999,3.5799999
STEVENSON,AL167,City,,0173080,01,2007,80.099998,0,0,0,0
CLAYTON,AL158,City,,0115376,01,2007,38.130001,0,0,0,0
ALEXANDER CITY,AL174,City,,0101132,01,2007,477,66,56,13.84,11.74
TROY,AL177,City,,0176920,01,2007,422,16,15,3.79,3.55
BREWTON,AL156,City,,0109208,01,2007,60.799999,2,2,3.29,3.29
DADEVILLE,AL178,City,,0119336,01,2007,67.339996,4,4,5.9400001,5.9400001
LIVINGSTON,AL175,City,,0143720,01,2007,82.5,0,0,0,0
FORT PAYNE,AL011,City,,0127616,01,2007,259.60001,5,5,1.9299999,1.9299999
SYLACAUGA,AL057,City,,0174352,01,2007,613.47998,2,2,.33000001,.33000001
CLANTON,AL150,City,,0115136,01,2007,165.53999,1,1,.60000002,.60000002
CROSSVILLE,AL082,City,,0118856,01,2007,30,0,0,0,0
HAMILTON,AL053,City,,0132848,01,2007,433.42999,2,2,.46000001,.46000001
REFORM,AL066,City,,0164104,01,2007,60,1,1,1.67,1.67
PHENIX CITY,AL005,City,,0159472,01,2007,723.79999,10,10,1.38,1.38
BRENT,AL151,City,,0109136,01,2007,67.900002,1,1,1.47,1.47
MONTGOMERY,AL006,City & County,01101,0151000,01,2007,1666.8,151,141,9.0600004,8.46
BRANTLEY,AL145,City,,0109016,01,2007,95,1,1,1.05,1.05
ANDALUSIA,AL127,City,,0101708,01,2007,118.8,0,0,0,0
FOLEY,AL165,City,,0126992,01,2007,82.720001,19,18,22.969999,21.76
SHEFFIELD,AL068,City,,0169648,01,2007,383.16,0,0,0,0
EVERGREEN,AL181,City,,0124808,01,2007,81,3,3,3.7,3.7
MIDLAND CITY,AL124,City,,0148400,01,2007,46,1,1,2.1700001,2.1700001
HOBSON CITY,AL133,City,,0135152,01,2007,54,0,0,0,0
TRIANA,AL182,City,,0176824,01,2007,21.120001,0,0,0,0
PRICHARD,AL169,City,,0162496,01,2007,220.35001,6,6,2.72,2.72
ASHLAND,AL136,City,,0102860,01,2007,199,0,0,0,0
ARAB,AL091,City,,0102116,01,2007,105,2,2,1.9,1.9
RUSSELLVILLE,AL060,City,,0167056,01,2007,204.82001,4,4,1.95,1.95
LINDEN,AL120,City,,0143240,01,2007,46,0,0,0,0
SULLIGENT,AL119,City,,0173728,01,2007,120.54,0,0,0,0
ATTALLA,AL009,City,,0103028,01,2007,110,0,0,0,0
